srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
5c:e5:0c:0c:5e:e0,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,210,5
5c:e5:0c:0c:5e:e0,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,350,1
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,75,1
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,1,*,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,17,123,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,*,*,*,*,17,53,*,1000,*,*,1092,2
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,75,1
*,5c:e5:0c:0c:5e:e0,0x0806,*,*,*,*,*,*,1000,*,*,336,8
5c:e5:0c:0c:5e:e0,*,0x0806,*,*,*,*,*,*,1000,*,*,294,7
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,us.ot.io.mi.com,17,*,8053,810,*,*,6552,44
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,74,1
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,us.ot.io.mi.com,*,17,8053,*,710,*,*,20350,139
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,6,*,*,700,*,*,0,0
5c:e5:0c:0c:5e:e0,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,5c:e5:0c:0c:5e:e0,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,6,*,*,600,*,*,0,0
